Longitude,Latitude
106.15436640000,-5.92041619000
106.15463739000,-5.92041563000
106.15382500000,-5.92068866000
106.15409598000,-5.92068809000
106.15436697000,-5.92068753000
106.15463795000,-5.92068697000
106.15490893000,-5.92068640000
106.15382556000,-5.92095999000
106.15409655000,-5.92095943000
106.15436753000,-5.92095886000
106.15463851000,-5.92095830000
106.15490950000,-5.92095774000
106.15518048000,-5.92095717000
106.15572245000,-5.92095604000
106.15599343000,-5.92095548000
106.15626441000,-5.92095491000
106.15653540000,-5.92095435000
106.15680638000,-5.92095378000
106.15707736000,-5.92095322000
106.15761933000,-5.92095209000
106.15816130000,-5.92095096000
106.15382613000,-5.92123133000
106.15409711000,-5.92123076000
106.15436809000,-5.92123020000
106.15463908000,-5.92122964000
106.15491006000,-5.92122907000
106.15518104000,-5.92122851000
106.15545203000,-5.92122794000
106.15572301000,-5.92122738000
106.15599399000,-5.92122681000
106.15626498000,-5.92122625000
106.15653596000,-5.92122568000
106.15680694000,-5.92122512000
106.15707793000,-5.92122455000
106.15734891000,-5.92122399000
106.15761989000,-5.92122342000
106.15789088000,-5.92122286000
106.15816186000,-5.92122229000
106.15843284000,-5.92122172000
106.15870383000,-5.92122116000
106.15382669000,-5.92150266000
106.15409767000,-5.92150210000
106.15436866000,-5.92150153000
106.15463964000,-5.92150097000
106.15491062000,-5.92150041000
106.15518161000,-5.92149984000
106.15545259000,-5.92149928000
106.15626554000,-5.92149758000
106.15653653000,-5.92149702000
106.15680751000,-5.92149645000
106.15707849000,-5.92149589000
106.15734948000,-5.92149532000
106.15762046000,-5.92149476000
106.15789144000,-5.92149419000
106.15816243000,-5.92149362000
106.15843341000,-5.92149306000
106.15870439000,-5.92149249000
106.15897538000,-5.92149193000
106.15409824000,-5.92177343000
106.15464020000,-5.92177231000
106.15491119000,-5.92177174000
106.15518217000,-5.92177118000
106.15545315000,-5.92177061000
106.15762102000,-5.92176609000
106.15789201000,-5.92176553000
106.15816299000,-5.92176496000
106.15843397000,-5.92176439000
106.15870496000,-5.92176383000
106.15409880000,-5.92204477000
106.15491175000,-5.92204308000
106.15518274000,-5.92204251000
106.15545372000,-5.92204195000
106.15572470000,-5.92204138000
106.15735060000,-5.92203799000
106.15762159000,-5.92203743000
106.15789257000,-5.92203686000
106.15816356000,-5.92203629000
106.15870552000,-5.92203516000
106.15518330000,-5.92231385000
106.15545428000,-5.92231328000
106.15572527000,-5.92231272000
106.15708019000,-5.92230989000
106.15762215000,-5.92230876000
106.15789314000,-5.92230819000
106.15545485000,-5.92258462000
106.15789370000,-5.92257953000
106.16603687000,-5.92907450000
106.16603744000,-5.92934584000
106.16630843000,-5.92934527000
106.16603801000,-5.92961717000
106.16630900000,-5.92961660000
106.16603858000,-5.92988851000
106.16630957000,-5.92988793000
106.16658056000,-5.92988736000
106.16631014000,-5.93015927000
106.16658113000,-5.93015870000
106.16631071000,-5.93043060000
106.16658170000,-5.93043003000
106.16685268000,-5.93042946000
106.16658227000,-5.93070136000
106.16685325000,-5.93070079000
106.16658284000,-5.93097270000
106.16685382000,-5.93097213000
106.16712481000,-5.93097156000
106.16658341000,-5.93124403000
106.16685439000,-5.93124346000
106.16712538000,-5.93124289000
106.16739637000,-5.93124232000
106.16658398000,-5.93151537000
106.16685496000,-5.93151479000
106.16712595000,-5.93151422000
106.16739694000,-5.93151365000
106.16658455000,-5.93178670000
106.16685553000,-5.93178613000
106.16712652000,-5.93178556000
106.16739751000,-5.93178499000
106.16658512000,-5.93205803000
106.16685610000,-5.93205746000
106.16712709000,-5.93205689000
106.16739808000,-5.93205632000
106.16766907000,-5.93205575000
106.16658569000,-5.93232937000
106.16685667000,-5.93232880000
106.16712766000,-5.93232822000
106.16739865000,-5.93232765000
106.16766964000,-5.93232708000
106.16685725000,-5.93260013000
106.16712823000,-5.93259956000
106.16739922000,-5.93259899000
106.16767021000,-5.93259842000
106.16794120000,-5.93259784000
106.16685782000,-5.93287146000
106.16712880000,-5.93287089000
106.16739979000,-5.93287032000
106.16767078000,-5.93286975000
106.16794177000,-5.93286918000
106.16712937000,-5.93314223000
106.16740036000,-5.93314165000
106.16767135000,-5.93314108000
106.16794234000,-5.93314051000
106.16821333000,-5.93313994000
106.16712995000,-5.93341356000
106.16740093000,-5.93341299000
106.16767192000,-5.93341242000
106.16794291000,-5.93341184000
106.16821390000,-5.93341127000
106.16713052000,-5.93368489000
106.16740150000,-5.93368432000
106.16767249000,-5.93368375000
106.16794348000,-5.93368318000
106.16821447000,-5.93368261000
106.16848546000,-5.93368203000
106.16686010000,-5.93395680000
106.16713109000,-5.93395623000
106.16740208000,-5.93395565000
106.16767306000,-5.93395508000
106.16794405000,-5.93395451000
106.16821504000,-5.93395394000
106.16848603000,-5.93395337000
106.16631869000,-5.93422927000
106.16658968000,-5.93422870000
106.16686067000,-5.93422813000
106.16713166000,-5.93422756000
106.16740265000,-5.93422699000
106.16767363000,-5.93422642000
106.16794462000,-5.93422584000
106.16821561000,-5.93422527000
106.16848660000,-5.93422470000
106.16875759000,-5.93422413000
106.16604827000,-5.93450118000
106.16631926000,-5.93450061000
106.16659025000,-5.93450004000
106.16686124000,-5.93449946000
106.16713223000,-5.93449889000
106.16740322000,-5.93449832000
106.16767421000,-5.93449775000
106.16794519000,-5.93449718000
106.16821618000,-5.93449661000
106.16848717000,-5.93449603000
106.16875816000,-5.93449546000
106.16523588000,-5.93477422000
106.16550687000,-5.93477365000
106.16577785000,-5.93477308000
106.16604884000,-5.93477251000
106.16631983000,-5.93477194000
106.16659082000,-5.93477137000
106.16686181000,-5.93477080000
106.16713280000,-5.93477023000
106.16740379000,-5.93476966000
106.16767478000,-5.93476908000
106.16794577000,-5.93476851000
106.16821675000,-5.93476794000
106.16848774000,-5.93476737000
106.16875873000,-5.93476680000
106.16225556000,-5.93505183000
106.16252655000,-5.93505126000
106.16279754000,-5.93505069000
106.16306853000,-5.93505012000
106.16333952000,-5.93504955000
106.16361051000,-5.93504898000
106.16442348000,-5.93504727000
106.16469447000,-5.93504670000
106.16496546000,-5.93504613000
106.16523645000,-5.93504556000
106.16550744000,-5.93504499000
106.16577842000,-5.93504442000
106.16604941000,-5.93504385000
106.16632040000,-5.93504327000
106.16659139000,-5.93504270000
106.16686238000,-5.93504213000
