longitude,latitude,chla
106.12452523000,-5.90419716000,2.87977000000
106.12723501000,-5.90419167000,2.84167000000
106.12994478000,-5.90418617000,2.95811000000
106.13265456000,-5.90418066000,3.01281000000
106.13536433000,-5.90417514000,3.08696000000
106.13807410000,-5.90416960000,3.04325000000
106.14078386000,-5.90416405000,3.11147000000
106.14349363000,-5.90415848000,3.13273000000
106.14620339000,-5.90415290000,3.16464000000
106.14891315000,-5.90414731000,3.15755000000
106.15162290000,-5.90414171000,3.15828000000
106.15433266000,-5.90413609000,3.16418000000
106.15704241000,-5.90413046000,3.19691000000
106.15975216000,-5.90412482000,3.16887000000
106.16246190000,-5.90411916000,3.19364000000
106.16517165000,-5.90411349000,3.15386000000
106.16788139000,-5.90410781000,3.11693000000
106.17059112000,-5.90410211000,3.15370000000
106.17330086000,-5.90409640000,3.09760000000
106.17601059000,-5.90409068000,3.08660000000
106.17872032000,-5.90408494000,3.01459000000
106.18143005000,-5.90407919000,2.95152000000
106.12479675000,-5.90446795000,2.87645000000
106.12750653000,-5.90446246000,2.82641000000
106.13021631000,-5.90445696000,2.90353000000
106.13292608000,-5.90445145000,3.00719000000
106.13563586000,-5.90444592000,3.03967000000
106.13834563000,-5.90444038000,3.06510000000
106.14105540000,-5.90443483000,3.06115000000
106.14376516000,-5.90442926000,3.16634000000
106.14647492000,-5.90442368000,3.16136000000
106.14918468000,-5.90441809000,3.15979000000
106.15189444000,-5.90441248000,3.15901000000
106.15460419000,-5.90440686000,3.17283000000
106.15731395000,-5.90440123000,3.18313000000
106.16002370000,-5.90439559000,3.22642000000
106.16273344000,-5.90438993000,3.15760000000
106.16544319000,-5.90438426000,3.18498000000
106.16815293000,-5.90437857000,3.14314000000
106.17086267000,-5.90437287000,3.14937000000
106.17357240000,-5.90436716000,3.03333000000
106.17628214000,-5.90436144000,2.99973000000
106.17899187000,-5.90435570000,3.00049000000
106.18170159000,-5.90434995000,2.91306000000
106.12506828000,-5.90473874000,2.84770000000
106.12777806000,-5.90473325000,2.82641000000
106.13048784000,-5.90472775000,2.99133000000
106.13319761000,-5.90472223000,3.01357000000
106.13590739000,-5.90471670000,3.02370000000
106.13861716000,-5.90471116000,3.06520000000
106.14132693000,-5.90470561000,3.07951000000
106.14403669000,-5.90470004000,3.16800000000
106.14674646000,-5.90469446000,3.15636000000
106.14945622000,-5.90468886000,3.15755000000
106.15216598000,-5.90468326000,3.11333000000
106.15487573000,-5.90467764000,3.19691000000
106.15758548000,-5.90467200000,3.14521000000
106.16029524000,-5.90466636000,3.16053000000
106.16300498000,-5.90466070000,3.14349000000
106.16571473000,-5.90465502000,3.16675000000
106.16842447000,-5.90464934000,3.13500000000
106.17113421000,-5.90464364000,3.11903000000
106.17384395000,-5.90463792000,3.06481000000
106.17655368000,-5.90463220000,3.07167000000
106.17926341000,-5.90462646000,2.94116000000
106.18197314000,-5.90462071000,2.92559000000
106.12533980000,-5.90500953000,2.91509000000
106.12804959000,-5.90500404000,2.92602000000
106.13075937000,-5.90499853000,2.98318000000
106.13346914000,-5.90499302000,2.99056000000
106.13617892000,-5.90498749000,3.05154000000
106.13888869000,-5.90498194000,3.03536000000
106.14159846000,-5.90497639000,3.07267000000
106.14430823000,-5.90497082000,3.15266000000
106.14701799000,-5.90496524000,3.12741000000
106.14972775000,-5.90495964000,3.15969000000
106.15243751000,-5.90495403000,3.14337000000
106.15514727000,-5.90494841000,3.19528000000
106.15785702000,-5.90494277000,3.16620000000
106.16056677000,-5.90493713000,3.18043000000
106.16327652000,-5.90493146000,3.16966000000
106.16598627000,-5.90492579000,3.16726000000
106.16869601000,-5.90492010000,3.12661000000
106.17140575000,-5.90491440000,3.07618000000
106.17411549000,-5.90490868000,3.03583000000
106.17682523000,-5.90490296000,3.07685000000
106.17953496000,-5.90489722000,3.02555000000
106.18224469000,-5.90489146000,2.91979000000
106.12561133000,-5.90528032000,2.89831000000
106.12832111000,-5.90527482000,2.90669000000
106.13103089000,-5.90526932000,3.00312000000
106.13374067000,-5.90526380000,2.98436000000
106.13645045000,-5.90525827000,3.06322000000
106.13916022000,-5.90525272000,3.01352000000
106.14186999000,-5.90524717000,3.09685000000
106.14457976000,-5.90524160000,3.16068000000
106.14728953000,-5.90523601000,3.13552000000
106.14999929000,-5.90523041000,3.14386000000
106.15270905000,-5.90522480000,3.15365000000
